user_id,method,gt_size,history_size,seed_size,precision@5,recall@5,ndcg@5,map@5,precision@10,recall@10,ndcg@10,map@10
76464,hybrid,1,14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78688,popularity,5,53,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78688,cooccurrence,5,53,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78688,hybrid,5,53,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79984,popularity,10,47,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79984,cooccurrence,10,47,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79984,hybrid,10,47,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83018,popularity,20,144,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83018,cooccurrence,20,144,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83018,hybrid,20,144,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83915,popularity,5,26,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83915,cooccurrence,5,26,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83915,hybrid,5,26,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84327,popularity,11,83,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84327,cooccurrence,11,83,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84327,hybrid,11,83,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84481,popularity,8,104,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84481,cooccurrence,8,104,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84481,hybrid,8,104,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
